poly,avg_degree,avg_w_degree
254,31,313.35468527500296
255,24,50.55245090212232
256,26,247.08679779869885
257,26,444.05301244141185
258,18,277.11077905243775
259,31,410.32612683900084
260,40,827.7022409400621
261,25,381.7902851371062
262,53,1345.7787084946833
263,43,330.61297864092444
264,67,2396.6736539288268
265,65,1853.8605679313966
266,31,747.8498371941217
267,36,358.1533932570447
268,35,312.16811909260457
269,36,213.68438738201002
270,32,683.480049222447
271,36,719.299255203332
272,26,239.67321075344864
273,66,2083.058906039676
274,53,1369.1389387456973
275,46,255.68922426856145
276,31,422.4669793867631
277,39,449.75767629095725
278,36,614.9407293692468
279,35,322.7086172281396
280,38,320.35692523114966
281,37,190.318404431146
282,59,1263.1773135824008
283,89,1795.7022891578956
284,68,2163.735112949288
285,66,1875.494297515304
286,86,2831.731255309044
287,81,3006.116737271027
288,57,898.5694533838234
289,45,773.1248152686618
290,36,194.2551101801816
291,38,189.41365217027646
292,29,846.4026007557623
293,48,1425.7927555102015
294,61,1701.7566692403548
295,35,703.4038532604562
296,36,1056.752690986652
297,34,836.7713968056785
298,30,468.1417658009933
299,33,178.32000110935232
300,48,690.7315294225243
301,31,235.67378318485498
302,56,895.8358096292408
303,72,1039.8444147174282
304,47,513.0357522201383
305,85,2187.4813771731083
306,40,1180.1719239988608
307,69,1700.3491470380322
308,30,301.6793232741463
309,45,679.5655796510812
310,40,414.85835839702645
311,34,804.9074206974552
312,30,496.5742841453529
313,32,525.6227054988034
