poly,avg_core_num
195,415.9811319912581
196,321.93882650227414
197,536.2326111722904
198,237.37053253384354
199,134.16817703323065
200,111.32131853638712
201,959.489780374484
202,749.3755120527904
203,410.35813674937094
204,314.52879296691935
205,337.4964363651613
206,185.87984774235485
207,500.24679484374195
208,451.8106042852742
209,308.6635778514516
210,27.75226610145
211,787.5677728850486
212,661.9075452264838
213,455.7563005175968
214,417.7543145018388
215,1034.9616208667742
216,286.99252505401137
217,169.59457557238386
218,121.85146493430322
219,1406.054715912145
220,1412.1962839524194
221,116.6384542834887
222,321.024868288
223,1123.7954600268224
224,1408.0387483825807
225,1047.6262860684517
226,417.98931377219355
227,321.73065281896777
228,413.2908342602258
229,1211.075207840452
230,858.5212441874195
231,1411.8384779124194
232,573.207740606355
233,257.08993568898546
234,80.51701516717904
235,135.74019567281616
236,394.703205073871
237,414.01605846982255
238,366.06571025587095
239,493.2820405960807
240,786.8856563477904
241,80.64528376025646
242,165.67478562843388
243,910.4159428374514
244,766.8212699912581
245,204.2877392257484
246,238.9594081336629
247,466.0906307558226
248,456.7361862200645
249,569.4384548997258
250,519.7859753160162
251,1042.0793935625163
252,811.1121246848872
253,154.97893234427906
254,208.39983748969516
255,48.92636625491452
256,198.14010638944356
257,345.5513873643388
258,271.69435566046934
259,296.30756034917744
260,622.6975307302417
261,261.25527270998543
262,798.3921171632097
263,209.08099226864672
264,1065.8402207308388
265,981.6852215623227
266,445.067909642242
267,324.852681525387
268,229.3505521284209
269,181.94969947977256
270,421.6715028049194
271,415.15300342393544
272,200.89345691059674
273,915.1617274291776
274,650.3364015615324
275,202.6729961346742
276,346.5406364739355
277,318.7677409172904
278,523.9959851832903
279,203.52560405604999
280,278.01396416045804
281,167.60290359708063
282,876.6290337780325
283,841.6980383434517
284,1080.5717878154032
285,1033.2022940462095
286,1125.1725786096774
287,1178.2746122868548
288,640.8240618235483
289,714.8834498427418
290,182.74304818933228
291,180.43649275531936
292,711.2436271340808
293,981.6746117565001
294,1060.5258391210486
295,657.1139843499517
296,733.5306685403872
297,728.3146358112581
298,449.76209192511294
299,177.7454025729774
300,414.17681059029036
301,231.90063619800645
302,561.3016839637904
303,477.2896729016775
304,342.95421493693556
305,1009.7848009170968
306,930.6640749029356
307,899.717117920855
308,298.00379048176615
309,475.6868920282097
310,372.5908464728339
311,442.0613089994193
312,407.69599207537095
313,415.9811319912581
